n,window_ms,plaintext_ms_median,plaintext_ms_std,aes_ms_median,aes_ms_std,paillier_nobatch_ms_median,paillier_nobatch_ms_std,ours_ms_median,ours_ms_std,ours_enclave_ms_median,ours_enclave_ms_std,ours_kmm_ms_median,ours_kmm_ms_std,ours_storage_ms_median,ours_storage_ms_std,ours_within_500ms,conclusion,benchmark_mode,paillier_key_bits,paillier_ciphertext_bytes,calibration_note
10,500.0,0.002200016751885414,0.0008717530424949657,0.7806000066921115,1.3875577863057889,444.128,0.0,444.128,0.0,227.537,0.0,1.474,0.0,215.117,0.0,True,within_500ms_window,host_reference_2048_no_ta,2048,512,"2048-bit host reference benchmark; OP-TEE QEMU timing only, not physical hardware timing. TA-side 2048-bit Paillier is not enabled in this QEMU prototype."
50,500.0,0.001400010660290718,0.0001154877398554318,1.4749999972991645,0.14271428154746293,444.128,0.0,444.128,0.0,227.537,0.0,1.474,0.0,215.117,0.0,True,within_500ms_window,host_reference_2048_no_ta,2048,512,"2048-bit host reference benchmark; OP-TEE QEMU timing only, not physical hardware timing. TA-side 2048-bit Paillier is not enabled in this QEMU prototype."
100,500.0,0.003300025127828121,0.002173308410559262,5.058799986727536,0.6065758582527044,444.128,0.0,444.128,0.0,227.537,0.0,1.474,0.0,215.117,0.0,True,within_500ms_window,host_reference_2048_no_ta,2048,512,"2048-bit host reference benchmark; OP-TEE QEMU timing only, not physical hardware timing. TA-side 2048-bit Paillier is not enabled in this QEMU prototype."
200,500.0,0.003500026650726795,0.003223363293013653,13.19520000834018,3.5158434168428774,444.128,0.0,444.128,0.0,227.537,0.0,1.474,0.0,215.117,0.0,True,within_500ms_window,host_reference_2048_no_ta,2048,512,"2048-bit host reference benchmark; OP-TEE QEMU timing only, not physical hardware timing. TA-side 2048-bit Paillier is not enabled in this QEMU prototype."
500,500.0,0.011300027836114168,0.0004163689925363383,28.89129996765405,17.46756091873332,444.128,0.0,444.128,0.0,227.537,0.0,1.474,0.0,215.117,0.0,True,within_500ms_window,host_reference_2048_no_ta,2048,512,"2048-bit host reference benchmark; OP-TEE QEMU timing only, not physical hardware timing. TA-side 2048-bit Paillier is not enabled in this QEMU prototype."
